county,date,est_new_infections,est_population,daily_infection_rate,severe
Alameda,2020-05-10,194,1671329,1.1607529098100973,1
Alameda,2020-05-11,194,1671329,1.1607529098100973,1
Alameda,2020-05-12,182,1671329,1.0889537607496789,1
Alameda,2020-05-13,185,1671329,1.1069035480147835,1
Alameda,2020-05-14,176,1671329,1.0530541862194698,1
Alameda,2020-05-15,172,1671329,1.0291211365326636,1
Alameda,2020-05-16,168,1671329,1.0051880868458574,1
Alameda,2020-05-17,162,1671329,0.9692885123156483,0
Alameda,2020-05-18,166,1671329,0.9932215620024543,0
Alameda,2020-05-19,158,1671329,0.9453554626288422,0
Alameda,2020-05-20,156,1671329,0.933388937785439,0
Alameda,2020-05-21,152,1671329,0.9094558880986329,0
Alameda,2020-05-22,150,1671329,0.8974893632552299,0
Alameda,2020-05-23,145,1671329,0.8675730511467221,0
Alameda,2020-05-24,148,1671329,0.8855228384118267,0
Alameda,2020-05-25,135,1671329,0.8077404269297068,0
Alameda,2020-05-26,133,1671329,0.7957739020863038,0
Alameda,2020-05-27,130,1671329,0.7778241148211991,0
Alameda,2020-05-28,122,1671329,0.729958015447587,0
Alameda,2020-05-29,124,1671329,0.74192454029099,0
Alameda,2020-05-30,120,1671329,0.7179914906041838,0
Alameda,2020-05-31,121,1671329,0.7239747530258854,0
Alameda,2020-06-01,117,1671329,0.7000417033390792,0
Alameda,2020-06-02,112,1671329,0.6701253912305717,0
Alameda,2020-06-03,114,1671329,0.6820919160739747,0
Alameda,2020-06-04,108,1671329,0.6461923415437655,0
Alameda,2020-06-05,104,1671329,0.6222592918569594,0
Alameda,2020-06-06,103,1671329,0.6162760294352578,0
Alameda,2020-06-07,101,1671329,0.6043095045918547,0
Alameda,2020-06-08,92,1671329,0.550460142796541,0
Alameda,2020-06-09,91,1671329,0.5444768803748394,0
Alameda,2020-06-10,89,1671329,0.5325103555314363,0
Alameda,2020-06-11,86,1671329,0.5145605682663318,0
Alameda,2020-06-12,85,1671329,0.5085773058446302,0
Alameda,2020-06-13,79,1671329,0.4726777313144211,0
Alameda,2020-06-14,77,1671329,0.460711206471018,0
Alameda,2020-06-15,72,1671329,0.43079489436251034,0
Alameda,2020-06-16,74,1671329,0.44276141920591333,0
Alameda,2020-06-17,69,1671329,0.4128451070974057,0
Alameda,2020-06-18,74,1671329,0.44276141920591333,0
Alameda,2020-06-19,69,1671329,0.4128451070974057,0
Alameda,2020-06-20,67,1671329,0.40087858225400264,0
Alpine,2020-05-10,0,1129,0.0,0
Alpine,2020-05-11,0,1129,0.0,0
Alpine,2020-05-12,0,1129,0.0,0
Alpine,2020-05-13,0,1129,0.0,0
Alpine,2020-05-14,0,1129,0.0,0
Alpine,2020-05-15,0,1129,0.0,0
Alpine,2020-05-16,0,1129,0.0,0
Alpine,2020-05-17,0,1129,0.0,0
Alpine,2020-05-18,0,1129,0.0,0
Alpine,2020-05-19,0,1129,0.0,0
Alpine,2020-05-20,0,1129,0.0,0
Alpine,2020-05-21,0,1129,0.0,0
Alpine,2020-05-22,0,1129,0.0,0
Alpine,2020-05-23,0,1129,0.0,0
Alpine,2020-05-24,0,1129,0.0,0
Alpine,2020-05-25,0,1129,0.0,0
Alpine,2020-05-26,0,1129,0.0,0
