Blank,CountDR,Incident Type DS,County,County Comma,Fiscal Year,URL,State,Country,Number of Records,PlaceHolder,Declaration Date,declarationRequestNumber,Title,declarationType,designatedArea,disasterCloseoutDate,Disaster Number,femaDeclarationString,fipsCountyCode,fipsStateCode,fyDeclared,Hash,Hm Program Declared,Ia Program Declared,Id,Ih Program Declared,Incident Begin Date,Incident End Date,Incident Type,Last Refresh,Pa Program Declared,Place Code,State.Abbr
Disaster Number,1,floods,Santa Barbara County,"Santa Barbara County,",FY 1972,http://www.ready.gov/floods,California,United States,1,1,1/11/1972 5:00,72001,"WINDS, FLOODING, MUDSLIDES",DR,Santa Barbara (County),,316,DR-316-CA,83,6,1972,7a23d35275310fa4588e57db41196574,FALSE,FALSE,5d1bceb1d5b39c032f260b01,FALSE,1/11/1972,1/11/1972,Flood,7/26/2019,TRUE,99083,CA
Disaster Number,1,floods,Mendocino County,"Mendocino County,",FY 1974,http://www.ready.gov/floods,California,United States,1,1,5/7/1974 4:00,74042,SEVERE STORMS & FLOODING,DR,Mendocino (County),,432,DR-432-CA,45,6,1974,d148340e95ffae8e9ac811a537bc0bfc,FALSE,FALSE,5d1bceb2d5b39c032f2611ba,FALSE,5/7/1974,5/7/1974,Flood,7/26/2019,TRUE,99045,CA
Disaster Number,1,floods,Santa Cruz County,"Santa Cruz County,",FY 1980,http://www.ready.gov/floods,California,United States,1,1,2/21/1980 5:00,80019,"SEVERE STORMS, MUDSLIDES & FLOODING",DR,Santa Cruz (County),,615,DR-615-CA,87,6,1980,d935cae4a0c4b4001303bb6eeeaf8b87,FALSE,FALSE,5d1bceb3d5b39c032f261867,FALSE,1/8/1980,1/8/1980,Flood,7/26/2019,TRUE,99087,CA
Disaster Number,1,floods,San Joaquin County,"San Joaquin County,",FY 1981,http://www.ready.gov/floods,California,United States,1,1,10/2/1980 4:00,81001,LEVEE BREAK & FLOODING,DR,San Joaquin (County),,633,DR-633-CA,77,6,1981,ff5aed9e67db04ebc05d625f915f7404,FALSE,FALSE,5d1bceb3d5b39c032f261925,FALSE,10/2/1980,10/2/1980,Flood,7/26/2019,TRUE,99077,CA
Disaster Number,1,floods,San Joaquin County,"San Joaquin County,",FY 1982,http://www.ready.gov/floods,California,United States,1,1,9/24/1982 4:00,82043,LEVEE BREAK,DR,San Joaquin (County),,669,DR-669-CA,77,6,1982,4389e8fd949a30bfb306e22f0e1516d5,FALSE,FALSE,5d1bceb3d5b39c032f2619c1,FALSE,8/23/1982,9/13/1982,Flood,7/26/2019,TRUE,99077,CA
Disaster Number,1,floods,San Joaquin County,"San Joaquin County,",FY 1982,http://www.ready.gov/floods,California,United States,1,1,1/7/1982 5:00,82006,"SEVERE STORMS, FLOOD, MUDSLIDES & HIGH TIDE",DR,San Joaquin (County),4/13/1995,651,DR-651-CA,77,6,1982,e4e17284e7a872509546f147aa9a9673,FALSE,FALSE,5d1bceb3d5b39c032f261984,FALSE,12/19/1981,1/8/1982,Flood,11/13/2019,TRUE,99077,CA
Disaster Number,1,floods,Santa Clara County,"Santa Clara County,",FY 1982,http://www.ready.gov/floods,California,United States,1,1,1/7/1982 5:00,82006,"SEVERE STORMS, FLOOD, MUDSLIDES & HIGH TIDE",DR,Santa Clara (County),4/13/1995,651,DR-651-CA,85,6,1982,bfb9f6191af092317d6af00256d40793,FALSE,FALSE,5d1bceb3d5b39c032f261962,FALSE,12/19/1981,1/8/1982,Flood,11/13/2019,TRUE,99085,CA
Disaster Number,1,floods,Riverside County,"Riverside County,",FY 1983,http://www.ready.gov/floods,California,United States,1,1,9/22/1983 4:00,83056,FLASH FLOODING,DR,Riverside (County),,690,DR-690-CA,65,6,1983,90dd7cc6ef68da118697a49594d93fdd,FALSE,FALSE,5d1bceb4d5b39c032f261acf,FALSE,8/15/1983,8/18/1983,Flood,7/26/2019,TRUE,99065,CA
Disaster Number,1,floods,San Bernardino County,"San Bernardino County,",FY 1983,http://www.ready.gov/floods,California,United States,1,1,9/22/1983 4:00,83056,FLASH FLOODING,DR,San Bernardino (County),,690,DR-690-CA,71,6,1983,872299156058171b5c24298a5b1cc0e5,FALSE,FALSE,5d1bceb4d5b39c032f261ac9,FALSE,8/15/1983,8/18/1983,Flood,7/26/2019,TRUE,99071,CA
Disaster Number,1,floods,Fresno County,"Fresno County,",FY 1986,http://www.ready.gov/floods,California,United States,1,1,2/21/1986 5:00,86003,SEVERE STORMS & FLOODING,DR,Fresno (County),,758,DR-758-CA,19,6,1986,133c86d2ddae39622d45be6b0bc87fc1,FALSE,FALSE,5d1bceb4d5b39c032f261cf2,FALSE,2/12/1986,3/10/1986,Flood,7/26/2019,TRUE,99019,CA
